dataType,dateAdded,documentType,fieldKey,id,isAllowedCustomOption,isMultiFileAllowed,locationId,maxFileLimit,model,name,parentId,picklistOptions,placeholder,position,prefill,standard
TEXT,2024-04-02T20:38:03.205Z,field,contact.yelp_ads,c9F7lsElkf6jjIGrckNO,,,78wsQgsv80W793JIIrOA,,contact,Yelp Ads,B8FHpH7Jl3KgURBYo3l4,,,2850,,False
TEXT,2024-04-02T20:38:03.194Z,field,contact.google_rating,fzMhljzraM0W6Jh27rdI,,,78wsQgsv80W793JIIrOA,,contact,Google Rating,B8FHpH7Jl3KgURBYo3l4,,,2900,,False
TEXT,2024-04-08T16:17:57.279Z,field,contact.audit_improvement_3,rX4Lzng4Dd0XDhiYVJbo,,,78wsQgsv80W793JIIrOA,,contact,Audit Improvement #3,B8FHpH7Jl3KgURBYo3l4,,,2950,,False
TEXT,2024-04-08T16:17:57.351Z,field,contact.audit_improvement_2,thR9OJUt0BVyaqkw7iDm,,,78wsQgsv80W793JIIrOA,,contact,Audit Improvement #2,B8FHpH7Jl3KgURBYo3l4,,,3000,,False
TEXT,2024-04-02T20:38:03.302Z,field,contact.google_rank,xDovbwHjT4DKYUA0vVs6,,,78wsQgsv80W793JIIrOA,,contact,Google Rank,B8FHpH7Jl3KgURBYo3l4,,,3050,,False
TEXT,2024-04-02T20:38:03.201Z,field,contact.google_ads,xTyWbgYno1oGOHZ9sLr8,,,78wsQgsv80W793JIIrOA,,contact,Google Ads,B8FHpH7Jl3KgURBYo3l4,,,3100,,False
FILE_UPLOAD,2025-01-21T17:10:46.401Z,field,contact.image_4,Dg1Ei8qDAFfqbhWzXVNr,,,78wsQgsv80W793JIIrOA,,contact,Image 4,B8FHpH7Jl3KgURBYo3l4,"["".png"", "".jpeg"", "".jpg""]",,3150,,False
TEXT,2025-01-21T17:10:09.730Z,field,contact.do_you_have_a_refund_or_cancellation_policy,F3eGTa2hNxZUJIkQLgl5,,,78wsQgsv80W793JIIrOA,,contact,Do you have a refund or cancellation policy?,B8FHpH7Jl3KgURBYo3l4,,,3250,,False
FILE_UPLOAD,2025-01-21T17:10:46.399Z,field,contact.please_provide_up_to_5_image_upload,GzHzHniiQkEIyFKyp9me,,,78wsQgsv80W793JIIrOA,,contact,Please provide up to 5 image upload,B8FHpH7Jl3KgURBYo3l4,"["".pdf"", "".png"", "".jpeg"", "".jpg""]",Image 1,3300,,False
TEXT,2025-01-21T17:10:46.396Z,field,contact.your_targeting_location_as_per_gmb_map,KAci9oGhWKOMqvBmgTPm,,,78wsQgsv80W793JIIrOA,,contact,Your Targeting Location (as per GMB Map),B8FHpH7Jl3KgURBYo3l4,,Primary Location of Business only (Please don't use Regions or Countries),3350,,False
TEXT,2025-01-21T17:10:46.398Z,field,contact.top_2_competitors,Krd194npLpAV77Vianxy,,,78wsQgsv80W793JIIrOA,,contact,Top 2 Competitors,B8FHpH7Jl3KgURBYo3l4,,Who are your Top 2 Compeditors - Locally?,3400,,False
TEXT,2025-01-21T17:10:46.397Z,field,your_nap_business_name_address_phone_number,LImZQXmhPmTd7vFSaCa2,,,78wsQgsv80W793JIIrOA,,contact,Mention Your NAP below (if local SEO),B8FHpH7Jl3KgURBYo3l4,,,3450,,False
FILE_UPLOAD,2025-01-21T17:10:09.727Z,field,contact.upload_avatar_image_for_the_chat_bot,Nl8mgJAkMwGtdHxcpnXG,,,78wsQgsv80W793JIIrOA,,contact,Upload Avatar Image for the Chat Bot,B8FHpH7Jl3KgURBYo3l4,"["".png"", "".jpeg"", "".jpg""]",,3500,,False
TEXTBOX_LIST,2025-01-21T17:10:46.397Z,field,contact.top_targeting_keywords_max_5,Nty0E1g4hHso525oAToC,,,78wsQgsv80W793JIIrOA,,contact,Top Targeting Keywords (max 5),B8FHpH7Jl3KgURBYo3l4,"[{""id"": ""7cb057aa-15b2-4a36-b695-0baa122d465b"", ""label"": ""1"", ""prefillValue"": ""Keyword 1""}, {""id"": ""a7ce0d5e-9eb4-4ce8-a9a8-5fea34a96d1f"", ""label"": ""2"", ""prefillValue"": ""Keyword 2""}, {""id"": ""ede89a8c-5e4a-4357-b60f-25bd7dcaf36d"", ""label"": ""3"", ""prefillValue"": ""Keyword 3""}, {""id"": ""382f90ff-288b-4a10-8438-fbe4b160e4fa"", ""label"": ""4"", ""prefillValue"": ""Keyword 4""}, {""id"": ""bf8f49c7-fe4e-4db2-904a-6f2cf926062b"", ""label"": ""5"", ""prefillValue"": ""Keyword 5""}]",,3550,,False
TEXT,2025-01-21T17:10:09.730Z,field,contact.do_you_have_contact_details_for_customer_supportassistance,Ox0s26HZRRgBnmOCY3C8,,,78wsQgsv80W793JIIrOA,,contact,Do you have contact details for customer support/assistance?,B8FHpH7Jl3KgURBYo3l4,,,3600,,False
FILE_UPLOAD,2024-04-02T20:38:03.309Z,field,contact.images,hr8Qc5U3qKWc9uPJBzGA,,False,78wsQgsv80W793JIIrOA,,contact,Images,B8FHpH7Jl3KgURBYo3l4,[],,3650,,False
LARGE_TEXT,2024-04-02T20:38:03.295Z,field,contact.business_hours,R8drXTFDHtq8LVnR5iRp,,,78wsQgsv80W793JIIrOA,,contact,Business Hours,B8FHpH7Jl3KgURBYo3l4,,Please add open and close times for Monday-Sunday,3700,,False
TEXT,2025-01-21T17:10:46.396Z,field,contact.company_hours,wtjjqguK6Md58zayMHFv,,,78wsQgsv80W793JIIrOA,,contact,Company hours,B8FHpH7Jl3KgURBYo3l4,,Mon-Fri? Open- Close?,3750,,False
TEXT,2024-12-19T22:26:04.129Z,field,contact.last_activity,sNQOLzC1tenm0sYRPWO5,,,78wsQgsv80W793JIIrOA,,contact,Last Activity,B8FHpH7Jl3KgURBYo3l4,,,3800,,False
TEXT,2025-01-21T22:07:25.234Z,field,contact.region,MJjaqDmwd2Qjv8j1mSuD,,,78wsQgsv80W793JIIrOA,,contact,Region,B8FHpH7Jl3KgURBYo3l4,,,3850,,False
LARGE_TEXT,2025-01-22T01:22:07.297Z,field,contact.your_message,0aDDue8OdceNum137FPY,,,78wsQgsv80W793JIIrOA,,contact,Your Message,B8FHpH7Jl3KgURBYo3l4,,Your Message,3900,,False
MULTIPLE_OPTIONS,2024-11-12T16:03:16.713Z,field,contact.business_category,TBYGtDQ4cF6P665GEJpX,,,78wsQgsv80W793JIIrOA,,contact,Business Category,B8FHpH7Jl3KgURBYo3l4,"[""Auto Repair"", ""Auto Dealership"", ""Coffee"", ""Electrician"", ""Establishment"", ""General Contractor"", ""Gym"", ""Home Goods Store"", ""Hospital"", ""Hotel"", ""Landscape Services"", ""Marketing"", ""Plumber"", ""Point Of Interest"", ""Restaurant"", ""Roofing Contractor"", ""Store"", ""Tattoo Shop"", ""Window Cleaner"", ""Other""]",,3950,,False
PHONE,2024-11-12T16:03:16.704Z,field,contact.secondary_business_number,3XPOlwJ2lCH4YTU32e6D,,,78wsQgsv80W793JIIrOA,,contact,Secondary Business Number,B8FHpH7Jl3KgURBYo3l4,,Secondary Business Phone Number,4000,,False
